unique_id,team_name,position,value,pred_Naive,pred_LGBMRegressor_no_exog,pred_LGBMRegressor_with_exog,pred_LSTMWithReLU,pred_season,picked_Naive,captain_Naive,first_xi_Naive,season,picked_time,picked_LGBMRegressor_no_exog,captain_LGBMRegressor_no_exog,first_xi_LGBMRegressor_no_exog,picked_LGBMRegressor_with_exog,captain_LGBMRegressor_with_exog,first_xi_LGBMRegressor_with_exog,picked_LSTMWithReLU,captain_LSTMWithReLU,first_xi_LSTMWithReLU
Brandon Austin,Tottenham,GK,40.0,0.0,0.3192268438666069,0.38309106574119556,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Brennan Johnson,Tottenham,MID,65.0,3.0,3.3346521777923557,4.199744608272795,2.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Bruno Borges Fernandes,Manchester Utd,MID,85.0,2.0,3.402495636439046,3.6298066617450884,2.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Bruno Guimarães Rodriguez Moura,Newcastle,MID,65.0,2.0,5.1481164360014295,5.0989350454708315,2.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,1.0,0,1.0,1.0,0,1.0,0.0,0,
Bryan Gil Salvatierra,Tottenham,MID,50.0,0.0,0.45030442674567683,0.48586687171374204,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Bryan Mbeumo,Brentford,MID,70.0,1.0,3.012019578352162,3.0555769556078207,2.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Bukayo Saka,Arsenal,MID,100.0,6.0,4.029491798896547,6.026734040912104,6.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,1.0,1,1.0
Caleb Okoli,Leicester,DEF,40.0,0.0,0.33358705975262,0.9065277892854537,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Caleb Wiley,Chelsea,DEF,40.0,0.0,0.33358705975262,0.43410236593180734,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Callum Hudson-Odoi,Nottingham,MID,55.0,3.0,3.7199909403456823,3.3937734814860536,2.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
